date,composite,bucket
2013-05-01,52.02360939537582,Elevated
2013-06-01,51.26457073350425,Elevated
2013-07-01,50.474269260653536,Elevated
2013-08-01,50.016885642363874,Elevated
2013-09-01,49.79154361529567,Normal
2013-10-01,55.21306090127601,Elevated
2013-11-01,51.23835397041595,Elevated
2013-12-01,51.016993073147695,Elevated
2014-01-01,51.80836750952519,Elevated
2014-02-01,51.24770814418695,Elevated
2014-03-01,52.58874587618179,Elevated
2014-04-01,51.865792649590865,Elevated
2014-05-01,49.71260263186987,Normal
2014-06-01,49.14321419502866,Normal
2014-07-01,51.88662785139994,Elevated
2014-08-01,49.736724230815526,Normal
2014-09-01,49.51781945643133,Normal
2014-10-01,48.54476709317593,Normal
2014-11-01,47.70310806965186,Normal
2014-12-01,47.07655617613244,Normal
2015-01-01,50.725546138954485,Elevated
2015-02-01,47.95620232271828,Normal
2015-03-01,49.742837348201604,Normal
2015-04-01,48.07054640956993,Normal
2015-05-01,50.82625118900934,Elevated
2015-06-01,49.11771148312638,Normal
2015-07-01,46.928467935635744,Normal
2015-08-01,49.69246845706285,Normal
2015-09-01,50.352713280376356,Elevated
2015-10-01,50.051763546569276,Elevated
2015-11-01,52.24516004185047,Elevated
2015-12-01,52.2836949812057,Elevated
2016-01-01,53.4994342938426,Elevated
2016-02-01,54.79089852622252,Elevated
2016-03-01,53.44345665161386,Elevated
2016-04-01,57.28549709977308,Elevated
2016-05-01,54.77276170088214,Elevated
2016-06-01,56.28160365038851,Elevated
2016-07-01,55.08390099160445,Elevated
2016-08-01,59.1354462606251,Elevated
2016-09-01,58.93146653364825,Elevated
2016-10-01,58.8391910616661,Elevated
2016-11-01,52.82830550200077,Elevated
2016-12-01,52.10020547428538,Elevated
2017-01-01,54.11515229196764,Elevated
2017-02-01,55.34123520453454,Elevated
2017-03-01,52.25436630191619,Elevated
2017-04-01,49.26877674981228,Normal
2017-05-01,48.346502532672446,Normal
2017-06-01,50.34561330809181,Elevated
2017-07-01,50.8716777018526,Elevated
2017-08-01,52.1773466231345,Elevated
2017-09-01,50.76345723951759,Elevated
2017-10-01,49.082173760474404,Normal
2017-11-01,49.433875273366205,Normal
2017-12-01,52.70933784512351,Elevated
2018-01-01,53.21323517169314,Elevated
2018-02-01,54.295489121279694,Elevated
2018-03-01,56.02533062554092,Elevated
2018-04-01,52.82451467699909,Elevated
2018-05-01,53.48109894310306,Elevated
2018-06-01,54.648132558012755,Elevated
2018-07-01,54.18602609552658,Elevated
2018-08-01,54.56202203806396,Elevated
2018-09-01,51.536556305363206,Elevated
2018-10-01,50.87009431882305,Elevated
2018-11-01,50.727854870245075,Elevated
2018-12-01,54.985796220887295,Elevated
2019-01-01,60.928713975755315,Elevated
2019-02-01,59.64216106760564,Elevated
2019-03-01,58.25182535141823,Elevated
2019-04-01,56.12910374299866,Elevated
2019-05-01,54.95767012622506,Elevated
2019-06-01,55.6369252502054,Elevated
2019-07-01,58.853603383178395,Elevated
2019-08-01,63.09648372606142,Elevated
2019-09-01,59.65449221620104,Elevated
2019-10-01,58.09698285623311,Elevated
2019-11-01,57.736972708462,Elevated
2019-12-01,60.233944540236386,Elevated
2020-01-01,56.0989349999941,Elevated
2020-02-01,57.57405510884081,Elevated
2020-03-01,62.77612374472439,Elevated
2020-04-01,69.40516369360962,Warning
2020-05-01,71.95979340307208,Warning
2020-06-01,71.96395556825028,Warning
2020-07-01,72.2602618169293,Extreme
2020-08-01,72.79116253612911,Extreme
2020-09-01,72.02178635094988,Extreme
2020-10-01,70.56318407438087,Warning
2020-11-01,70.01223906906394,Warning
2020-12-01,70.13663234816305,Warning
2021-01-01,69.03668841449148,Warning
2021-02-01,68.85750918824138,Warning
2021-03-01,65.97304918377172,Warning
2021-04-01,61.784873450833686,Elevated
2021-05-01,61.178482361338624,Elevated
2021-06-01,61.860006643511134,Elevated
2021-07-01,60.71813363549191,Elevated
2021-08-01,59.932198510033054,Elevated
2021-09-01,62.40657314325194,Elevated
2021-10-01,58.06951285095737,Elevated
2021-11-01,59.97485421517913,Elevated
2021-12-01,58.23981102283078,Elevated
2022-01-01,63.31793005996051,Elevated
2022-02-01,64.46879125385485,Elevated
2022-03-01,63.072024511897325,Elevated
2022-04-01,66.46501592896698,Warning
2022-05-01,67.15101625612324,Warning
2022-06-01,70.45663380172893,Warning
2022-07-01,71.82925551943357,Warning
2022-08-01,73.92689792299225,Extreme
2022-09-01,71.78741502424056,Warning
2022-10-01,75.1348872795802,Extreme
2022-11-01,74.48279213036619,Extreme
2022-12-01,73.7339785584803,Extreme
2023-01-01,70.73160877006028,Warning
2023-02-01,72.17139671874345,Extreme
2023-03-01,71.77415500135334,Warning
2023-04-01,71.95094874152527,Warning
2023-05-01,73.2305621455275,Extreme
2023-06-01,73.03443040125262,Extreme
2023-07-01,69.44761545638889,Warning
2023-08-01,70.24254731327417,Warning
2023-09-01,75.90842803987704,Extreme
2023-10-01,77.7442299300016,Extreme
2023-11-01,69.47179614841252,Warning
2023-12-01,67.87381683637453,Warning
2024-01-01,67.95803349003309,Warning
2024-02-01,67.78214580832275,Warning
2024-03-01,68.18125671126663,Warning
2024-04-01,69.00637378031433,Warning
2024-05-01,69.00505811737024,Warning
2024-06-01,71.0321621319105,Warning
2024-07-01,74.2002645851498,Extreme
2024-08-01,72.19222474888583,Extreme
2024-09-01,70.85257370583409,Warning
2024-10-01,70.63998917774043,Warning
2024-11-01,68.27611433163135,Warning
2024-12-01,69.27795090010652,Warning
2025-01-01,68.07848723588447,Warning
2025-02-01,71.17605989951619,Warning
2025-03-01,74.06850860667507,Extreme
2025-04-01,75.78544893006962,Extreme
2025-05-01,72.8189402929907,Extreme
2025-06-01,70.64544496469023,Warning
2025-07-01,69.51612473796358,Warning
2025-08-01,69.76628659993773,Warning
2025-09-01,69.96983907028569,Warning
2025-10-01,70.57774708149724,Warning
2025-11-01,70.47602437162631,Warning
2025-12-01,67.48209701036708,Warning
2026-01-01,69.22775505316405,Warning
2026-02-01,71.87654360569931,Warning
2026-03-01,74.65743136275103,Extreme
2026-04-01,70.82053059725767,Warning
2026-05-01,69.03128714290443,Warning
2026-06-01,70.37921009027743,Warning
